"date","key","value","lbl"
2020-05-01,"YoY_pce_core",0.997378374979441,
2020-06-01,"YoY_pce_core",0.9704519119351,
2020-07-01,"YoY_pce_core",1.21433669630973,
2020-08-01,"YoY_pce_core",1.39310384693199,
2020-09-01,"YoY_pce_core",1.47969154640764,
2020-10-01,"YoY_pce_core",1.42173261045102,
2020-11-01,"YoY_pce_core",1.4535218844868,
2020-12-01,"YoY_pce_core",1.5087900922145,
2021-01-01,"YoY_pce_core",1.69749394777383,
2021-02-01,"YoY_pce_core",1.70946700919674,
2021-03-01,"YoY_pce_core",2.19913601957336,
2021-04-01,"YoY_pce_core",3.13060320443366,
2021-05-01,"YoY_pce_core",3.54111990191759,
2021-06-01,"YoY_pce_core",3.86171281021375,
2021-07-01,"YoY_pce_core",3.92711817566731,
2021-08-01,"YoY_pce_core",3.95845804471557,
2021-09-01,"YoY_pce_core",4.01385067830378,
2021-10-01,"YoY_pce_core",4.43667244827357,
2021-11-01,"YoY_pce_core",4.8908669097107,
2021-12-01,"YoY_pce_core",5.2145501246506,
2022-01-01,"YoY_pce_core",5.35843659732218,
2022-02-01,"YoY_pce_core",5.60276429329303,
2022-03-01,"YoY_pce_core",5.59322192400848,
2022-04-01,"YoY_pce_core",5.3450231503003,
2022-05-01,"YoY_pce_core",5.18413676352232,
2022-06-01,"YoY_pce_core",5.31569109508947,
2022-07-01,"YoY_pce_core",5.10737405784079,
2022-08-01,"YoY_pce_core",5.36244733065834,
2022-09-01,"YoY_pce_core",5.60647932798861,
2022-10-01,"YoY_pce_core",5.45975968345009,
2022-11-01,"YoY_pce_core",5.20808883271644,
2022-12-01,"YoY_pce_core",4.96688147337054,
2023-01-01,"YoY_pce_core",4.93766521397443,
2023-02-01,"YoY_pce_core",4.85560337162572,
2023-03-01,"YoY_pce_core",4.78328639495544,
2023-04-01,"YoY_pce_core",4.7896422992401,
2023-05-01,"YoY_pce_core",4.73162537488017,
2023-06-01,"YoY_pce_core",4.38378680842135,
2023-07-01,"YoY_pce_core",4.29912412325086,
2023-08-01,"YoY_pce_core",3.82820361567022,
2023-09-01,"YoY_pce_core",3.68777420803539,
2023-10-01,"YoY_pce_core",3.47406285497918,
2023-11-01,"YoY_pce_core",3.29074387115043,
2023-12-01,"YoY_pce_core",3.1123879882345,
2024-01-01,"YoY_pce_core",3.15901451002085,
2024-02-01,"YoY_pce_core",3.05946798497401,
2024-03-01,"YoY_pce_core",3.12217385792166,
2024-04-01,"YoY_pce_core",3.00672090555361,
2024-05-01,"YoY_pce_core",2.77117640637203,
2024-06-01,"YoY_pce_core",2.75316190635733,
2024-07-01,"YoY_pce_core",2.80621633376827,
2024-08-01,"YoY_pce_core",2.87327991711854,
2024-09-01,"YoY_pce_core",2.83862799646837,
2024-10-01,"YoY_pce_core",2.9865021082659,
2024-11-01,"YoY_pce_core",2.98071012012562,
2024-12-01,"YoY_pce_core",2.98858962451904,
2025-01-01,"YoY_pce_core",2.78013809944151,
2025-02-01,"YoY_pce_core",2.96864329381175,
2025-03-01,"YoY_pce_core",2.67029481431698,
2025-04-01,"YoY_pce_core",2.61479591836735,
2025-05-01,"YoY_pce_core",2.78388338249593,
2025-06-01,"YoY_pce_core",2.8073722050588,
2025-07-01,"YoY_pce_core",2.86304724556794,
2025-08-01,"YoY_pce_core",2.91241634721591,
2025-09-01,"YoY_pce_core",2.82506924983397,
2025-10-01,"YoY_pce_core",2.73434976419666,
2025-11-01,"YoY_pce_core",2.79117794162727,"2.8%"
2025-12-01,"YoY_pce_core",2.16304724556794,
2026-01-01,"YoY_pce_core",2.01241634721591,
2026-02-01,"YoY_pce_core",1.82506924983397,
2026-03-01,"YoY_pce_core",1.53434976419666,
